del,del_nom,gou,gou_nom,reg,reg_nom,zon,zon_nom,cap_gou,Nahdha_2014,Nidaa_2014,Takatol_2014,Afek_2014,Tayar_2014,Jomhouri_2014,Jabha_2014
TS3213,El-Guettar,TS321,Gafsa,TS32,Sud-ouest,TS3,Sud,0,1352,933,106,24,32,29,354
TS3214,El-Ksar,TS321,Gafsa,TS32,Sud-ouest,TS3,Sud,0,3383,2407,99,104,58,79,863
TS3215,El-Mdhilla,TS321,Gafsa,TS32,Sud-ouest,TS3,Sud,0,1613,855,7,27,98,23,256
TS3216,Metlaoui,TS321,Gafsa,TS32,Sud-ouest,TS3,Sud,0,3887,2123,38,50,171,59,204
TS3217,Moulares,TS321,Gafsa,TS32,Sud-ouest,TS3,Sud,0,2746,1824,46,49,51,35,478
TS3218,Redeyef,TS321,Gafsa,TS32,Sud-ouest,TS3,Sud,0,2054,262,14,42,19,5,838
TS3219,Sned,TS321,Gafsa,TS32,Sud-ouest,TS3,Sud,0,2429,2288,83,49,47,40,713
TS321A,Sidi-Aich,TS321,Gafsa,TS32,Sud-ouest,TS3,Sud,0,826,600,10,12,13,13,66
TS3220,Degueche,TS322,Tozeur,TS32,Sud-ouest,TS3,Sud,1,2178,1226,87,70,53,210,116
TS3221,Hezoua,TS322,Tozeur,TS32,Sud-ouest,TS3,Sud,0,465,116,7,10,4,19,4
TS3222,Nefta,TS322,Tozeur,TS32,Sud-ouest,TS3,Sud,0,2748,1020,65,29,22,190,57
TS3223,Tameghza,TS322,Tozeur,TS32,Sud-ouest,TS3,Sud,0,957,213,82,9,9,12,19
TS3224,Tozeur,TS322,Tozeur,TS32,Sud-ouest,TS3,Sud,0,3816,2270,26,91,185,171,315
TS3230,Faouar,TS323,Kebili,TS32,Sud-ouest,TS3,Sud,1,1861,654,0,0,51,39,65
TS3231,Kebelli-Nord,TS323,Kebili,TS32,Sud-ouest,TS3,Sud,0,3447,1037,0,0,139,177,1024
TS3232,Kebelli-Sud,TS323,Kebili,TS32,Sud-ouest,TS3,Sud,0,5924,1118,0,0,195,86,178
TS3233,Souk-Lahad,TS323,Kebili,TS32,Sud-ouest,TS3,Sud,0,3619,1147,0,0,58,50,142
